feature,frequency,rank,docfreq,group
bezeichnung,29916,1,11512,all
kurs,28786,2,10926,all
gültig,19559,3,5152,all
modul,16470,4,10606,all
system,12630,5,7885,all
modulbeschreibungstext,12455,6,7801,all
verfügbar,12315,7,7875,all
stichdatum,12166,8,7801,all
information,11943,9,11512,all
wurde,11649,10,11512,all
generiert,11516,11,11512,all
studierenden,9611,12,4041,all
module,8567,13,1369,all
beschreibung,8488,14,5152,all
selbststudium,8036,15,4173,all
course,8021,16,1265,all
version,7462,17,5152,all
folgenden,7406,18,6102,all
and,7211,19,1314,all
mündliche,6666,20,1715,all
angeboten,6578,21,5950,all
modulen,6455,22,5894,all
sprache,5648,23,1359,all
lerninhalt,5596,24,4264,all
unterrichtssprache,5501,25,4492,all
kontaktstudium,5056,26,3952,all
leistungsnachweis,5014,27,3618,all
semester,4977,28,1708,all
the,4876,29,515,all
bemerkungen,4811,30,3639,all
verfügbare,4612,31,3498,all
versionen,4612,31,3503,all
studiengang,4492,33,3216,all
lernziele,4375,34,3599,all
sprachmittlung,4320,35,236,all
begleitetes,4191,36,2779,all
kompetenzen,4190,37,2780,all
schriftliche,4166,38,2579,all
grundlagen,4110,39,1878,all
prüfung,4087,40,2480,all
kultur,3990,41,664,all
isfür,3965,42,3965,all
kennen,3893,43,1819,all
zhaw,3810,44,1380,all
modulverantwortliche,3708,45,1163,all
typus,3589,46,1053,all
angewandte,3532,47,2167,all
arbeit,3461,48,1224,all
transfer,3459,49,473,all
deutsch,3454,50,2721,all
core,3271,51,1097,all
gewichtung,3259,52,2251,all
kerngebiet,3241,53,1076,all
übersetzen,3156,54,658,all
sowie,3120,55,1787,all
studienprogrammes,3117,56,1052,all
vorlesung,3002,57,2168,all
lage,2958,58,1918,all
aufteilung,2941,59,1959,all
lehrformen,2915,60,2068,all
texte,2900,61,850,all
dozierenden,2814,62,1906,all
management,2790,63,795,all
erkennen,2782,64,1021,all
vermittlung,2775,65,1404,all
unterrichtsunterlagen,2723,66,2126,all
prüfungsform,2720,67,966,all
workload,2717,68,1897,all
praktikum,2671,69,1253,all
related,2643,70,1278,all
schriftlich,2564,71,1326,all
methoden,2544,72,1189,all
autonomes,2544,72,2021,all
lehrform,2520,74,1952,all
veranstalter,2515,75,2144,all
erwartende,2514,76,1946,all
gesamtarbeitsleistung,2490,77,1922,all
lektionen,2479,78,1768,all
übungen,2425,79,1285,all
unterstützung,2421,80,1154,all
dozierende,2410,81,1887,all
fachtextübersetzen,2399,82,481,all
interkulturalität,2384,83,133,all
ungder,2365,84,2365,all
verwend,2362,85,2362,all
vertiefung,2361,86,1000,all
leistungsnachweise,2292,87,960,all
hinweis,2263,88,2261,all
