docname,from,to,pre,keyword,post,pattern
text9,38,38,Materialtechnologie und der,Nachhaltigkeit,Bauwesen ihr erlerntes,nachhaltig*
text19,74,74,Voraussetzungen für einen,nachhaltigen,Betrieb des neu,nachhaltig*
text36,141,141,Basis Grundwissen über,Nachhaltigkeit,Komfort und Energiebedarf,nachhaltig*
text40,104,104,Grundwissen Gebäudehülle Energie,Nachhaltigkeit,Vertiefte Grundkenntnisse den,nachhaltig*
text42,103,103,Grundwissen Gebäudehülle Energie,Nachhaltigkeit,Vertiefte Grundkenntnisse den,nachhaltig*
text44,419,419,Tragwerk Ökonomie und,Nachhaltigkeit,wird eine enge,nachhaltig*
text46,319,319,Sinne von echter,Nachhaltigkeit,und Energieeffizienz Der,nachhaltig*
text47,319,319,Sinne von echter,Nachhaltigkeit,und Energieeffizienz Der,nachhaltig*
text66,45,45,Haustechnik Energieeffizienz und,Nachhaltigkeit,erläutern Energieerzeugung und,nachhaltig*
text105,124,124,: Grundwissen über,Nachhaltigkeit,und Energiebedarf Vorschriften,nachhaltig*
text139,62,62,Auskünfte über das,Essen,geben und erfragen,essen
text165,102,102,Kellerräume Eco Bau,Nachhaltigkeit,Holzbau Lehmbau Schallquellen,nachhaltig*
text237,75,75,Verkehr und Umwelt,Nachhaltigkeit,Konflikte und Dilemmata,nachhaltig*
text464,5,5,Freifach Grundlagen der,Nachhaltigen,Entwicklung Diese Information,nachhaltig*
text464,18,18,Freifach Grundlagen der,Nachhaltigen,Entwicklun gHinwe isFür,nachhaltig*
text569,82,82,Verfügung stehende Ressourcen,nachhaltig,und zeigen durch,nachhaltig*
text572,81,81,Verfügung stehende Ressourcen,nachhaltig,und zeigen durch,nachhaltig*
text575,75,75,Verfügung stehende Ressourcen,nachhaltig,und zeigen durch,nachhaltig*
text575,176,176,stellen Überlegungen zur,Nachhaltigkeit,von Projekten der,nachhaltig*
text581,78,78,Verfügung stehende Ressourcen,nachhaltig,und zeigen durch,nachhaltig*
text596,97,97,Verfügung stehende Ressourcen,nachhaltig,und zeigen durch,nachhaltig*
text619,111,111,Verfügung stehende Ressourcen,nachhaltig,und zeigen durch,nachhaltig*
text628,126,126,Verfügung stehende Ressourcen,nachhaltig,und zeigen durch,nachhaltig*
text628,213,213,stellen Überlegungen zur,Nachhaltigkeit,von Projekten der,nachhaltig*
text909,118,118,die Entwicklung und,Nachhaltigkeit,von Koalitionen Kooperationen,nachhaltig*
text933,305,305,Ergebnissen und Erkenntnissen,Nachhaltigkeit,Multiplikation und Verankerung,nachhaltig*
text980,277,277,postpartalen Phase Kindesrecht,Ernährung,der Wöchnerin Geschichte,*ernährung
text980,289,289,Anpassungsprozesse Überwachungsparameter Entwicklungspsychologie,Ernährung,Pflege Prophylaxen und,*ernährung
text989,353,353,und Grundlagen gesunder,Ernährung,und adäquater Bewegung,*ernährung
text989,826,826,Handgriffe Bedeutung von,Ernährung,und Bewegung der,*ernährung
text989,1115,1115,der Muttermilch Stillrichtlinien,Ernährung,der postpartalen Phase,*ernährung
text1004,841,841,der postpartalen Phase,Ernährung,des Kindes Stillen,*ernährung
text1007,672,672,der Laktation Brustbeobachtung,Ernährung,des Kindes Regulation,*ernährung
text1038,474,474,Legen einer Magensonde,Ernährung,Lagerungstechniken führen das,*ernährung
text1038,589,589,und überwachen Lagerungstechniken,Sondenernährung,Magensonde legen Beratungsgespräche,*ernährung
text1266,423,423,der Lage bei,akut,auftretenden Krisen angemessene,akut
text1292,155,155,Körperpflege Unterstützung beim,Essen,Verabreichung von Medikamenten,essen
text1292,205,205,Grundlagen einer gesunden,Ernährung,bei Erwachsenen alten,*ernährung
text1292,261,261,die Grundlagen der,Diabetesernährung,und der Ernährungstherapie,*ernährung
text1292,324,324,Körperpflege Unterstützung beim,Essen,Medikamente verabreichen Injektionen,essen
text1292,340,340,Wickel und Auflagen,Ernährung,Grundlagen bei Erwachsenen,*ernährung
text1313,266,266,Medikamenten Unterstützung beim,Essen,Injektionstechniken Blutentnahmen Mobilisation,essen
text1313,322,322,Grundlagen einer gesunden,Ernährung,können Zusammenhänge von,*ernährung
text1313,344,344,und Verhinderung von,Mangelernährung,aufzeigen kennen Möglichkeiten,*ernährung
text1313,497,497,Kälte Anwendungen Wickel,Ernährung,und pflegerische Unterstützung,*ernährung
text1313,503,503,Unterstützung Prinzipien gesunder,Ernährung,Mangelernährung Lebensmittelunverträglichkeiten Diätethik,*ernährung
text1313,504,504,Prinzipien gesunder Ernährung,Mangelernährung,Lebensmittelunverträglichkeiten Diätethik Zusammenhang,*ernährung
text1319,177,177,Drainagesysteme Wundmanagement parenteraler,Ernährung,Magensonden und Sondenernährung,*ernährung
text1319,180,180,Ernährung Magensonden und,Sondenernährung,Transfusionsmedizin sowie den,*ernährung
text1319,210,210,Venendruck Wundmanagement Parenterale,Ernährung,Magensonde Ernährung über,*ernährung
text1319,212,212,Parenterale Ernährung Magensonde,Ernährung,über Gastrostomiesonde Leistungsnachweis,*ernährung
text1322,2,2,Modul,Akut,somatische Pflege Diese,akut
text1322,12,12,", Bezeichnung :",Akut,somatische Pfleg eLeitu,akut
text1322,234,234,", Kurs :",Akut,somatische Pf legeNr,akut
text1322,241,241,", Bezeichnung :",Akut,somatische P flegeH,akut
text1323,4,4,", Kurs :",Akut,somatische Pflege Diese,akut
text1323,14,14,", Bezeichnung :",Akut,somatische Pfleg eHinwe,akut
text1324,4,4,", Kurs :",Akut,somatische Pflege Diese,akut
text1324,14,14,", Bezeichnung :",Akut,somatische Pfleg eHinwe,akut
text1324,39,39,", Bezeichnung :",Akut,somatische Pflege,akut
text1325,147,147,Assessments den Bereichen,Akut,Langzeit häuslicher und,akut
text1325,206,206,Erheben von Assessments,Akut,Langzeit häusliche und,akut
text1375,2,2,Modul,Akut,somatische Pflege Diese,akut
text1375,12,12,", Bezeichnung :",Akut,somatische Pflege Leitung,akut
text1375,416,416,", Kurs :",Akut,"somatische Pflege ,",akut
text1375,422,422,", Bezeichnung :",Akut,somatische Pflege Hinw,akut
text1376,4,4,", Kurs :",Akut,somatische Pflege Diese,akut
text1376,14,14,", Bezeichnung :",Akut,somatische Pflege Hinweis,akut
text1377,4,4,", Kurs :",Akut,somatische Pflege Diese,akut
text1377,14,14,", Bezeichnung :",Akut,somatische Pflege Hinweis,akut
text1377,39,39,", Bezeichnung :",Akut,somatische Pflege I,akut
text1378,2,2,Modul,Akut,somatische Pflege Diese,akut
text1378,12,12,", Bezeichnung :",Akut,somatische Pflege Leitung,akut
text1378,367,367,", Kurs :",Akut,"somatische Pflege ,",akut
text1378,373,373,", Bezeichnung :",Akut,somatische Pflege Hinw,akut
text1379,4,4,", Kurs :",Akut,somatische Pflege Diese,akut
text1379,14,14,", Bezeichnung :",Akut,somatische Pflege Hinweis,akut
text1380,4,4,", Kurs :",Akut,somatische Pflege Diese,akut
text1380,14,14,", Bezeichnung :",Akut,somatische Pflege Hinweis,akut
text1380,39,39,", Bezeichnung :",Akut,somatische Pflege,akut
text1399,372,372,Dyspnoe Schmerz Fatigue,Ernährung,gastrointestinale Symptome Palliative,*ernährung
text1415,376,376,Häufige Pflegediagnosen Alter,Mangelernährung,Flüssigkeitsdefizit akute Verwirrtheit,*ernährung
text1421,5,5,Pflege von Menschen,akut,kritischen Situationen Diese,akut
text1421,18,18,Pflege von Menschen,akut,kritischen Situatione nLeitu,akut
